Country,Latitude,Longitude
Albania,41.1533,20.1683
Andorra,42.5462,1.6016
Austria,47.5162,14.5501
Belarus,53.7098,27.9534
Belgium,50.8503,4.3517
Bosnia and Herzegovina,43.9159,17.6791
Bulgaria,42.7339,25.4858
Croatia,45.1,15.2
Cyprus,35.1264,33.4299
Czech Republic,49.8175,15.472
Denmark,56.2639,9.5018
Estonia,58.5953,25.0136
Faroe Islands,62.0079,-6.7735
Finland,61.9241,25.7482
France,46.6034,1.8883
Germany,51.1657,10.4515
Gibraltar,36.1408,-5.3536
Greece,39.0742,21.8243
Guernsey,49.4657,-2.5853
Hungary,47.1625,19.5033
Iceland,64.9631,-19.0208
Ireland,53.4129,-8.2439
Isle of Man,54.2361,-4.5481
Italy,41.8719,12.5674
Jersey,49.2144,-2.1313
Kosovo,42.6026,20.9026
Latvia,56.8796,24.6032
Liechtenstein,47.166,9.5554
Lithuania,55.1694,23.8813
Luxembourg,49.8153,6.1296
Malta,35.9375,14.3754
Moldova,47.4116,28.3699
Monaco,43.7384,7.4246
Montenegro,42.7087,19.3744
Netherlands,52.1326,5.2913
North Macedonia,41.6086,21.7453
Norway,60.472,8.4689
Poland,51.9194,19.1451
Portugal,39.3999,-8.2245
Romania,45.9432,24.9668
Russia,61.524,105.3188
San Marino,43.9424,12.4578
Serbia,44.0165,21.0059
Slovakia,48.669,19.699
Slovenia,46.1512,14.9955
Spain,40.4637,-3.7492
Svalbard and Jan Mayen,77.5536,23.6703
Sweden,60.1282,18.6435
Switzerland,46.8182,8.2275
Ukraine,48.3794,31.1656
United Kingdom,55.3781,-3.436
Vatican City,41.9029,12.4534
